3805_27350.html,1,1,——,名詞,サ変接続,,,,,——,——,——
3805_27350.html,1,2,沢木,名詞,固有名詞,人名,姓,,,沢木,サワキ,サワキ
3805_27350.html,1,3,梢,名詞,固有名詞,人名,名,,,梢,コズエ,コズエ
3805_27350.html,1,4,氏,名詞,接尾,人名,,,,氏,シ,シ
3805_27350.html,1,5,に,助詞,格助詞,一般,,,,に,ニ,ニ
3805_27350.html,1,6,——,名詞,サ変接続,,,,,——,——,——
3805_27350.html,2,1,おれ,名詞,代名詞,一般,,,,おれ,オレ,オレ
3805_27350.html,2,2,の,助詞,連体化,,,,,の,ノ,ノ
3805_27350.html,2,3,家,名詞,一般,,,,,家,イエ,イエ
3805_27350.html,2,4,の,助詞,連体化,,,,,の,ノ,ノ
3805_27350.html,2,5,二,名詞,数,,,,,二,ニ,ニ
3805_27350.html,2,6,階,名詞,接尾,助数詞,,,,階,カイ,カイ
3805_27350.html,2,7,の,助詞,連体化,,,,,の,ノ,ノ
3805_27350.html,2,8,窓,名詞,一般,,,,,窓,マド,マド
3805_27350.html,2,9,は,助詞,係助詞,,,,,は,ハ,ワ
3805_27350.html,2,10,、,記号,読点,,,,,、,、,、
3805_27350.html,2,11,丁度,副詞,一般,,,,,丁度,チョウド,チョード
3805_27350.html,2,12,向う,名詞,一般,,,,,向う,ムコウ,ムコー
3805_27350.html,2,13,の,助詞,連体化,,,,,の,ノ,ノ
3805_27350.html,2,14,家,名詞,一般,,,,,家,イエ,イエ
3805_27350.html,2,15,の,助詞,連体化,,,,,の,ノ,ノ
3805_27350.html,2,16,二,名詞,数,,,,,二,ニ,ニ
3805_27350.html,2,17,階,名詞,接尾,助数詞,,,,階,カイ,カイ
3805_27350.html,2,18,の,助詞,連体化,,,,,の,ノ,ノ
3805_27350.html,2,19,窓,名詞,一般,,,,,窓,マド,マド
3805_27350.html,2,20,と,助詞,並立助詞,,,,,と,ト,ト
3805_27350.html,2,21,向,接頭詞,名詞接続,,,,,向,コウ,コー
3805_27350.html,2,22,ひ,名詞,一般,,,,,ひ,ヒ,ヒ
3805_27350.html,2,23,合ふ,名詞,一般,,,,,合ふ,アイフ,アイフ
3805_27350.html,2,24,や,助詞,並立助詞,,,,,や,ヤ,ヤ
